captured_at	value
2021-12-19T01:02:56.000Z	2700
2021-12-19T01:03:01.000Z	2400
2021-12-19T01:03:06.000Z	2500
2021-12-19T01:03:11.000Z	2400
2021-12-19T01:03:16.000Z	2300
2021-12-19T01:03:21.000Z	2500
2021-12-19T01:03:26.000Z	2800
2021-12-19T01:03:31.000Z	2800
2021-12-19T01:36:03.000Z	2300
2021-12-19T01:36:08.000Z	2400
2021-12-19T01:36:13.000Z	2800
2021-12-19T01:36:18.000Z	3000
2021-12-19T01:36:23.000Z	3000
2021-12-19T01:36:29.000Z	3200
2021-12-19T01:36:34.000Z	3300
2021-12-19T01:36:39.000Z	3200
2021-12-19T01:36:44.000Z	3500
2021-12-19T01:37:29.000Z	3800
2021-12-19T01:37:34.000Z	3700
2021-12-19T01:37:39.000Z	3900
2021-12-19T01:37:44.000Z	3700
2021-12-19T01:37:49.000Z	3600
2021-12-19T01:37:54.000Z	3700
2021-12-19T01:37:59.000Z	3300
2021-12-19T01:38:04.000Z	3400
2021-12-19T01:38:09.000Z	3100
2021-12-19T01:38:14.000Z	3400
2021-12-19T01:38:19.000Z	3400
2021-12-19T01:38:24.000Z	3100
2021-12-19T01:38:29.000Z	3200
2021-12-19T01:38:34.000Z	3500
2021-12-19T01:38:39.000Z	3500
2021-12-19T01:38:44.000Z	3700
2021-12-19T01:38:49.000Z	3700
2021-12-19T01:38:54.000Z	3800
2021-12-19T01:38:59.000Z	4100
2021-12-19T01:39:04.000Z	3900
2021-12-19T01:39:09.000Z	4000
2021-12-19T01:39:14.000Z	4000
2021-12-19T01:39:19.000Z	4100
2021-12-19T01:39:24.000Z	4200
2021-12-19T01:39:29.000Z	4400
2021-12-19T01:39:34.000Z	4000
2021-12-19T01:39:39.000Z	4000
2021-12-19T01:39:44.000Z	4000
2021-12-19T01:39:49.000Z	4300
2021-12-19T01:39:54.000Z	4200
2021-12-19T01:39:59.000Z	4200
2021-12-19T01:40:04.000Z	4400
2021-12-19T01:40:09.000Z	4500
2021-12-19T01:40:14.000Z	4500
2021-12-19T01:40:19.000Z	4300
2021-12-19T01:40:24.000Z	4200
2021-12-19T01:40:29.000Z	3800
2021-12-19T01:40:35.000Z	3900
2021-12-19T01:40:40.000Z	3800
2021-12-19T01:40:45.000Z	3600
2021-12-19T01:40:50.000Z	3300
2021-12-19T01:40:55.000Z	3200
2021-12-19T01:41:00.000Z	2900
2021-12-19T01:41:05.000Z	2700
2021-12-19T01:41:10.000Z	2500
2021-12-19T01:41:15.000Z	2100
2021-12-19T01:41:20.000Z	2300
2021-12-19T01:41:25.000Z	2400
2021-12-19T01:41:30.000Z	2600
2021-12-19T01:41:35.000Z	2600
2021-12-19T01:41:40.000Z	2600
2021-12-19T01:41:45.000Z	2900
2021-12-19T01:41:50.000Z	2900
2021-12-19T01:41:55.000Z	2900
2021-12-19T01:42:00.000Z	3000
2021-12-19T01:42:05.000Z	3000
2021-12-19T01:42:10.000Z	3500
2021-12-19T01:42:15.000Z	3800
2021-12-19T01:42:20.000Z	3600
2021-12-19T01:42:25.000Z	3600
2021-12-19T01:42:30.000Z	3400
2021-12-19T01:42:35.000Z	3400
2021-12-19T01:42:40.000Z	3600
2021-12-19T01:42:45.000Z	3400
2021-12-19T01:42:50.000Z	3500
2021-12-19T01:42:55.000Z	3600
2021-12-19T01:43:00.000Z	3700
2021-12-19T01:43:05.000Z	3600
2021-12-19T01:43:10.000Z	3400
2021-12-19T01:43:15.000Z	3100
2021-12-19T01:43:20.000Z	3000
2021-12-19T01:43:25.000Z	2700
2021-12-19T01:43:30.000Z	2900
2021-12-19T01:43:35.000Z	3100
2021-12-19T01:43:40.000Z	3100
2021-12-19T01:43:45.000Z	3100
2021-12-19T01:43:50.000Z	3000
2021-12-19T01:43:55.000Z	2800
2021-12-19T01:44:00.000Z	2900
2021-12-19T01:44:05.000Z	2800
2021-12-19T01:44:10.000Z	3100
2021-12-19T01:44:15.000Z	3100
2021-12-19T01:44:20.000Z	3300
2021-12-19T01:44:25.000Z	3700
2021-12-19T01:44:30.000Z	3800
2021-12-19T01:44:35.000Z	4000
2021-12-19T01:44:40.000Z	3800
2021-12-19T01:44:45.000Z	3700
2021-12-19T01:44:50.000Z	3900
2021-12-19T01:44:55.000Z	3900
2021-12-19T01:45:00.000Z	3800
2021-12-19T01:45:05.000Z	3900
2021-12-19T01:45:11.000Z	3400
2021-12-19T01:45:16.000Z	3600
2021-12-19T01:45:21.000Z	3400
2021-12-19T01:45:26.000Z	3200
2021-12-19T01:45:31.000Z	3200
2021-12-19T01:45:36.000Z	2800
2021-12-19T01:45:41.000Z	3000
2021-12-19T01:45:46.000Z	2900
2021-12-19T01:45:51.000Z	3000
2021-12-19T01:45:56.000Z	3200
2021-12-19T01:46:01.000Z	3100
2021-12-19T01:46:06.000Z	3400
2021-12-19T01:46:11.000Z	3700
2021-12-19T01:46:16.000Z	3600
2021-12-19T01:46:21.000Z	4000
2021-12-19T01:46:26.000Z	4000
2021-12-19T01:46:31.000Z	3800
2021-12-19T01:46:36.000Z	3900
2021-12-19T01:46:41.000Z	4000
2021-12-19T01:46:46.000Z	4300
2021-12-19T01:46:51.000Z	4100
2021-12-19T01:46:56.000Z	4000
2021-12-19T01:47:01.000Z	4400
2021-12-19T01:47:06.000Z	4100
2021-12-19T01:47:11.000Z	3700
2021-12-19T01:47:16.000Z	3900
2021-12-19T01:47:21.000Z	3300
2021-12-19T01:47:26.000Z	3500
2021-12-19T01:47:31.000Z	3900
2021-12-19T01:47:36.000Z	3800
2021-12-19T01:47:41.000Z	3500
2021-12-19T01:47:46.000Z	3400
2021-12-19T01:47:51.000Z	3200
